0.png	\int _ { - \epsilon } ^ \infty d l \: { \rm e } ^ { - l \zeta } \int _ { - \epsilon } ^ \infty d l ' { \rm e } ^ { - l ' \zeta } l l ' { l ' - l \over l + l ' } \{ 3 \, \delta ' ' ( l ) - { 3 \over 4 } t \, \delta ( l ) \} = 0 .
5.png	\hat N _ 3 = \sum \sp f _ { j = 1 } a _ j \sp { \dagger } a _ j \, .
32.png	\tilde { \alpha } = \alpha \beta ^ { - m } = \left ( \begin {array} { c c c } \omega _ { k } ^ { - 2 y } \omega _ { 2 d } ^ { 2 m } & 0 & 0 \\ 0 & \omega _ { k } ^ { y } \omega _ { 2 d } ^ { - m } & 0 \\ 0 & 0 & \omega _ { k } ^ { y } \omega _ { 2 d } ^ { - m } \end {array} \right )
40.png	\beta ( g ) \frac { \partial } { \partial g } = 2 g \beta ( g ) \frac { \partial } { \partial g ^ 2 }
51.png	\left \{ \begin {array} { l c l l } \phi ~ ( \infty ) & = & 0 & , \vspace { 3 m m } \\ \phi ~ ( 0 ) & = & 1 & . \end {array} \right .
57.png	( K ^ { - 1 } ) ^ U _ S = - \frac { z ^ { * 3 } ( 1 - A | z | ^ 2 ) P ' ( y ) } { e ^ { \tilde { K } / 2 } P ' ' ( y ) } , \mbox { } ( K ^ { - 1 } ) ^ U _ T = \frac { ( T + T ^ * ) z ^ { * 3 } ( 1 - A | z | ^ 2 ) } { e ^ { \tilde { K } / 2 } ( 1 - \frac { \bar { n } } { 3 } B ( 1 - A | z | ^ 2 ) \| \Pi \| ) } ,
88.png	\partial ^ m _ a \Gamma _ i = \frac { \Gamma ^ n } { \lambda _ i } \{ \delta _ { n m } \psi _ a ^ i - \phi ^ n _ b \phi ^ m _ c \psi _ b ^ i \psi _ c ^ i \frac { \psi _ a ^ i } { \lambda _ i ^ 2 } + \phi ^ n _ b \phi ^ m _ c \sum _ { j \neq i } \psi _ b ^ j \frac { ( \psi _ c ^ i \psi _ a ^ j + \psi _ a ^ i \psi _ c ^ j ) } { ( \lambda _ i ^ 2 - \lambda _ j ^ 2 ) } \} \vspace { - 1 2 p t }
161.png	\delta _ { A } \widehat { \phi } \smallskip ( \widehat { x } ) = i [ \widehat { A } \smallskip ,
168.png	\mathcal { L } = \sum _ { i = 1 } ^ { N } \bar { \psi } ^ { i } \left ( \partial \! \! \! \slash + \lambda \sigma \right ) \psi ^ { i }
181.png	\frac { d \, \log \widetilde \mathcal { P } ^ { \Lambda , \lambda _ { \Lambda } } _ { \{ N ^ { ( \alpha _ 1 ) } _ { \nu _ { \alpha _ 1 } } , \dots , \, N ^ { ( \alpha _ n ) } _ { \nu _ { \alpha _ n } } \} } } { d \, N ^ { ( \alpha _ j ) } _ { \nu _ { \alpha _ j } } } \quad = \quad \frac { \int \limits _ G d \mu ( g ) \bar \chi ^ { ( \Lambda ) } ( g ) [ D ^ { ( \alpha _ 1 ) } _ { \nu _ 1 \nu _ 1 } ] ^ { N ^ { ( \alpha _ 1 ) } _ { \nu _ { \alpha _ 1 } } } \cdots [ D ^ { ( \alpha _ n ) } _ { \nu _ n \nu _ n } ] ^ { N ^ { ( \alpha _ n ) } _ { \nu _ { \alpha _ n } } } \log [ D ^ { ( \alpha _ j ) } _ { \nu _ j \nu _ j } ] } { \int \limits _ G d \mu ( g ) \bar \chi ^ { ( \Lambda ) } ( g ) [ D ^ { ( \alpha _ 1 ) } _ { \nu _ 1 \nu _ 1 } ] ^ { N ^ { ( \alpha _ 1 ) } _ { \nu _ { \alpha _ 1 } } } \cdots [ D ^ { ( \alpha _ n ) } _ { \nu _ n \nu _ n } ] ^ { N ^ { ( \alpha _ n ) } _ { \nu _ { \alpha _ n } } } } \, .
186.png	\mbox { T r } _ { N S - R } = \frac { V _ 0 } { 2 \pi } \int \d E \, \sum _ { m = 0 } ^ { N - 1 } \sum _ { w = - \infty } ^ { \infty } \, \cdots .
187.png	R _ { \mu \nu } - \frac { 1 } { 2 } R g _ { \mu \nu } = 0
204.png	W ^ a = \frac { 1 } { I E } \big ( | Z | ^ 2 H ^ a - A ^ a A _ b H ^ b + | Z | ^ 2 T ^ { a b } \! A _ b \big ) \, ,
221.png	H _ 0 = \int _ { 0 } ^ { \infty } d p \, p [ A ^ { \dag } ( p ) A ( p ) - B ^ { \dag } ( p ) B ( p ) ] .
225.png	\partial _ \mu < T T R > = ( N _ c ^ 2 - 1 ) \cdot \left [ \vbox { \vspace { 2 e x } \hbox { 1 } \vspace { 0 e x } } \right ] + 3 \cdot ( N _ c ^ 2 - 1 ) \cdot \left [ - \frac { 1 } { 3 } \right ] = 0
